transform,relation,status,expected_truth_behavior,reason,eligible_n,excluded_n
relcomp,above,strict_included,flip_law,,65,0
relcomp,across,unsafe_excluded,flip_law,path semantics; not a static spatial axis pair,0,3
relcomp,across from,not_in_scope,flip_law,no strict complement partner for this relation in the VSR relation set (not mutually exclusive + exhaustive on one axis),0,12
relcomp,adjacent to,not_in_scope,flip_law,no strict complement partner for this relation in the VSR relation set (not mutually exclusive + exhaustive on one axis),0,12
relcomp,against,not_in_scope,flip_law,no strict complement partner for this relation in the VSR relation set (not mutually exclusive + exhaustive on one axis),0,6
relcomp,ahead of,soft_excluded,flip_law,intrinsic-orientation reading of 'at the back of' is not equivalent to 'behind',0,8
relcomp,along,unsafe_excluded,flip_law,directional/path semantics; reversal not symmetric,0,2
relcomp,alongside,not_in_scope,flip_law,no strict complement partner for this relation in the VSR relation set (not mutually exclusive + exhaustive on one axis),0,9
relcomp,around,unsafe_excluded,flip_law,enclosing-path semantics; not a strict complement,0,1
relcomp,at,soft_excluded,flip_law,'at' is region-ambiguous (at the edge of vs. in the middle of); no strict complement partner,0,1
relcomp,at the back of,not_in_scope,flip_law,no strict complement partner for this relation in the VSR relation set (not mutually exclusive + exhaustive on one axis),0,22
relcomp,at the edge of,soft_excluded,flip_law,region relations; not mutually exclusive with other regions,0,37
relcomp,at the left side of,strict_included,flip_law,,96,0
relcomp,at the right side of,strict_included,flip_law,,80,0
relcomp,at the side of,not_in_scope,flip_law,no strict complement partner for this relation in the VSR relation set (not mutually exclusive + exhaustive on one axis),0,8
relcomp,attached to,not_in_scope,flip_law,no strict complement partner for this relation in the VSR relation set (not mutually exclusive + exhaustive on one axis),0,11
relcomp,away from,not_in_scope,flip_law,no strict complement partner for this relation in the VSR relation set (not mutually exclusive + exhaustive on one axis),0,35
relcomp,behind,strict_included,flip_law,,150,0
relcomp,below,strict_included,flip_law,,64,0
relcomp,beneath,not_in_scope,flip_law,no strict complement partner for this relation in the VSR relation set (not mutually exclusive + exhaustive on one axis),0,53
relcomp,beside,not_in_scope,flip_law,no strict complement partner for this relation in the VSR relation set (not mutually exclusive + exhaustive on one axis),0,37
relcomp,beyond,soft_excluded,flip_law,directional distance reading; 'beyond' is ambiguous (through vs. behind),0,5
relcomp,by,soft_excluded,flip_law,'by' is ambiguous (proximity vs. authorship) and is not a verified symmetric relation,0,15
relcomp,close to,not_in_scope,flip_law,no strict complement partner for this relation in the VSR relation set (not mutually exclusive + exhaustive on one axis),0,20
relcomp,connected to,not_in_scope,flip_law,no strict complement partner for this relation in the VSR relation set (not mutually exclusive + exhaustive on one axis),0,5
relcomp,consists of,unsafe_excluded,flip_law,mereology; inverse requires re-parsing of plural/collective subjects; excluded,0,4
relcomp,contains,not_in_scope,flip_law,no strict complement partner for this relation in the VSR relation set (not mutually exclusive + exhaustive on one axis),0,66
relcomp,detached from,not_in_scope,flip_law,no strict complement partner for this relation in the VSR relation set (not mutually exclusive + exhaustive on one axis),0,4
relcomp,down from,soft_excluded,flip_law,directional; 'down from' is not a strict exhaustive complement of a single relation,0,5
relcomp,enclosed by,unsafe_excluded,flip_law,passive containment; inverse wording not in the relation set,0,2
relcomp,facing,soft_excluded,flip_law,not complementary (two objects can face each other neither toward nor away; oblique orientations),0,64
relcomp,facing away from,not_in_scope,flip_law,no strict complement partner for this relation in the VSR relation set (not mutually exclusive + exhaustive on one axis),0,39
