orig_idx,family,orig_rel,flip_rel,statement,orig_label,flip_label,image,flip_prediction
3,FF,facing,facing away from,The laptop is facing away from the sandwich.,False,True,http://images.cocodataset.org/train2017/000000519404.jpg,False
7,FB,in front of,behind,The motorcycle is behind the truck.,True,False,http://images.cocodataset.org/train2017/000000057381.jpg,False
9,FB,behind,in front of,The bench is in front of the teddy bear.,False,True,http://images.cocodataset.org/train2017/000000395531.jpg,False
10,FB,in front of,behind,The motorcycle is behind the truck.,False,True,http://images.cocodataset.org/train2017/000000120207.jpg,False
11,LR,at the left side of,at the right side of,The bed is at the right side of the left side of the bench.,True,False,http://images.cocodataset.org/train2017/000000262118.jpg,False
12,FB,behind,in front of,The potted plant is in front of the fire hydrant.,True,False,http://images.cocodataset.org/train2017/000000408351.jpg,False
14,PP,perpendicular to,parallel to,The airplane is parallel to the truck.,True,False,http://images.cocodataset.org/train2017/000000538194.jpg,False
19,PP,parallel to,perpendicular to,The truck is perpendicular to the motorcycle.,False,True,http://images.cocodataset.org/train2017/000000302514.jpg,False
22,PP,perpendicular to,parallel to,The teddy bear is parallel to the cake.,True,False,http://images.cocodataset.org/train2017/000000033372.jpg,False
25,LR,at the left side of,at the right side of,The laptop is at the right side of the left side of the cake.,False,True,http://images.cocodataset.org/train2017/000000512569.jpg,False
29,FB,in front of,behind,The bicycle is behind the cat.,True,False,http://images.cocodataset.org/train2017/000000193488.jpg,False
33,FF,facing away from,facing,The cat is facing the sink.,True,False,http://images.cocodataset.org/train2017/000000508846.jpg,False
34,FF,facing away from,facing,The cat is facing the toilet.,True,False,http://images.cocodataset.org/train2017/000000455365.jpg,False
37,LR,at the right side of,at the left side of,The orange is at the left side of the right side of the sandwich.,True,False,http://images.cocodataset.org/train2017/000000260248.jpg,False
39,FB,in front of,behind,The oven is behind the cake.,True,False,http://images.cocodataset.org/train2017/000000185777.jpg,False
49,FB,behind,in front of,The chair is in front of the cat.,True,False,http://images.cocodataset.org/train2017/000000421689.jpg,False
53,FB,at the back of,in front of,The zebra is in front of the back of the truck.,True,False,http://images.cocodataset.org/train2017/000000319902.jpg,True
56,LR,at the left side of,at the right side of,The laptop is at the right side of the left side of the banana.,True,False,http://images.cocodataset.org/train2017/000000093469.jpg,False
58,FB,at the back of,in front of,The horse is in front of the back of the truck.,True,False,http://images.cocodataset.org/train2017/000000295460.jpg,False
59,LR,at the left side of,at the right side of,The cat is at the right side of the left side of the laptop.,False,True,http://images.cocodataset.org/train2017/000000232394.jpg,False
61,FB,in front of,behind,The cake is behind the dog.,False,True,http://images.cocodataset.org/train2017/000000113326.jpg,False
64,LR,at the left side of,at the right side of,The cat is at the right side of the left side of the teddy bear.,False,True,http://images.cocodataset.org/train2017/000000555951.jpg,False
69,FB,behind,in front of,The book is in front of the cat.,False,True,http://images.cocodataset.org/train2017/000000014766.jpg,False
75,LR,at the left side of,at the right side of,The person is at the right side of the left side of the truck.,True,False,http://images.cocodataset.org/train2017/000000570956.jpg,False
80,FB,in front of,behind,The person is behind the refrigerator.,True,False,http://images.cocodataset.org/train2017/000000261305.jpg,False
81,FF,facing away from,facing,The cat is facing the tv.,False,True,http://images.cocodataset.org/train2017/000000469661.jpg,False
84,LR,at the left side of,at the right side of,The clock is at the right side of the left side of the bird.,False,True,http://images.cocodataset.org/train2017/000000171067.jpg,False
85,LR,at the left side of,at the right side of,The pizza is at the right side of the left side of the dog.,True,False,http://images.cocodataset.org/train2017/000000508555.jpg,False
95,LR,at the right side of,at the left side of,The teddy bear is at the left side of the right side of the dog.,False,True,http://images.cocodataset.org/train2017/000000157616.jpg,False
106,FF,facing away from,facing,The parking meter is facing the person.,False,True,http://images.cocodataset.org/train2017/000000567205.jpg,False
107,LR,at the right side of,at the left side of,The dining table is at the left side of the right side of the refrigerator.,True,False,http://images.cocodataset.org/train2017/000000240709.jpg,False
109,FB,in front of,behind,The bicycle is behind the umbrella.,True,False,http://images.cocodataset.org/train2017/000000205613.jpg,False
110,LR,at the right side of,at the left side of,The keyboard is at the left side of the right side of the apple.,True,False,http://images.cocodataset.org/train2017/000000511644.jpg,False
114,FF,facing,facing away from,The person is facing away from the book.,False,True,http://images.cocodataset.org/train2017/000000040114.jpg,False
118,LR,at the right side of,at the left side of,The cell phone is at the left side of the right side of the person.,False,True,http://images.cocodataset.org/train2017/000000109488.jpg,False
124,FB,in front of,behind,The bus is behind the car.,False,True,http://images.cocodataset.org/train2017/000000244421.jpg,True
125,LR,right of,left of,The horse is left of the person.,False,True,http://images.cocodataset.org/train2017/000000532748.jpg,True
126,FB,in front of,behind,The couch is behind the bed.,True,False,http://images.cocodataset.org/train2017/000000305660.jpg,True
139,FB,behind,in front of,The pizza is in front of the sandwich.,False,True,http://images.cocodataset.org/train2017/000000501756.jpg,False
142,FB,behind,in front of,The horse is in front of the cat.,True,False,http://images.cocodataset.org/train2017/000000485148.jpg,True
153,FB,in front of,behind,The cat is behind the refrigerator.,True,False,http://images.cocodataset.org/train2017/000000117774.jpg,False
154,FB,behind,in front of,The bus is in front of the bicycle.,True,False,http://images.cocodataset.org/train2017/000000469728.jpg,False
156,FF,facing away from,facing,The person is facing the horse.,True,False,http://images.cocodataset.org/train2017/000000004972.jpg,False
157,LR,left of,right of,The chair is right of the teddy bear.,True,False,http://images.cocodataset.org/train2017/000000531568.jpg,False
160,FB,behind,in front of,The vase is in front of the cat.,False,True,http://images.cocodataset.org/train2017/000000261225.jpg,True
165,FB,in front of,behind,The elephant is behind the truck.,False,True,http://images.cocodataset.org/train2017/000000027989.jpg,True
170,FF,facing away from,facing,The person is facing the cow.,False,True,http://images.cocodataset.org/train2017/000000221771.jpg,False
171,FF,facing,facing away from,The teddy bear is facing away from the cow.,True,False,http://images.cocodataset.org/train2017/000000459644.jpg,False
177,FB,in front of,behind,The bicycle is behind the cat.,True,False,http://images.cocodataset.org/val2017/000000109055.jpg,True
178,FB,in front of,behind,The toilet is behind the truck.,True,False,http://images.cocodataset.org/train2017/000000127871.jpg,False
181,LR,at the right side of,at the left side of,The cup is at the left side of the right side of the cat.,True,False,http://images.cocodataset.org/train2017/000000248461.jpg,False
187,FB,in front of,behind,The dog is behind the sports ball.,True,False,http://images.cocodataset.org/train2017/000000284772.jpg,False
189,PP,parallel to,perpendicular to,The bus is perpendicular to the motorcycle.,True,False,http://images.cocodataset.org/train2017/000000087705.jpg,True
190,LR,at the left side of,at the right side of,The banana is at the right side of the left side of the cat.,True,False,http://images.cocodataset.org/train2017/000000259475.jpg,False
