id,statement,relation,ground_truth,prediction,correct,raw_output,image_url,thinking_likely,retries
156,The person is facing away from the horse.,facing away from,None,clean,,clean,http://images.cocodataset.org/train2017/000000004972.jpg,0,0
81,The cat is facing away from the tv.,facing away from,None,clean,,clean,http://images.cocodataset.org/train2017/000000469661.jpg,0,0
114,The person is facing the book.,facing,None,clean,,clean,http://images.cocodataset.org/train2017/000000040114.jpg,0,0
34,The cat is facing away from the toilet.,facing away from,None,clean,,clean,http://images.cocodataset.org/train2017/000000455365.jpg,0,0
3,The laptop is facing the sandwich.,facing,None,clean,,clean,http://images.cocodataset.org/train2017/000000519404.jpg,0,0
106,The parking meter is facing away from the person.,facing away from,None,clean,,clean,http://images.cocodataset.org/train2017/000000567205.jpg,0,0
14,The airplane is perpendicular to the truck.,perpendicular to,None,clean,,clean,http://images.cocodataset.org/train2017/000000538194.jpg,0,0
171,The teddy bear is facing the cow.,facing,None,clean,,clean,http://images.cocodataset.org/train2017/000000459644.jpg,0,0
22,The teddy bear is perpendicular to the cake.,perpendicular to,None,clean,,clean,http://images.cocodataset.org/train2017/000000033372.jpg,0,0
170,The person is facing away from the cow.,facing away from,None,clean,,clean,http://images.cocodataset.org/train2017/000000221771.jpg,0,0
33,The cat is facing away from the sink.,facing away from,None,clean,,clean,http://images.cocodataset.org/train2017/000000508846.jpg,0,0
19,The truck is parallel to the motorcycle.,parallel to,None,clean,,clean,http://images.cocodataset.org/train2017/000000302514.jpg,0,0
213,The laptop is facing the sandwich.,facing,None,clean,,clean,http://images.cocodataset.org/train2017/000000302643.jpg,0,0
356,The dog is facing the boat.,facing,None,clean,,clean,http://images.cocodataset.org/train2017/000000030667.jpg,0,0
189,The bus is parallel to the motorcycle.,parallel to,None,clean,,clean,http://images.cocodataset.org/train2017/000000087705.jpg,0,0
239,The cat is facing away from the toilet.,facing away from,None,clean,,clean,http://images.cocodataset.org/train2017/000000518156.jpg,0,0
280,The person is facing the teddy bear.,facing,None,clean,,clean,http://images.cocodataset.org/train2017/000000041753.jpg,0,0
357,The person is facing the bear.,facing,None,clean,,clean,http://images.cocodataset.org/train2017/000000541911.jpg,0,0
211,The bus is facing away from the cow.,facing away from,None,clean,,clean,http://images.cocodataset.org/train2017/000000162355.jpg,0,0
230,The teddy bear is facing away from the book.,facing away from,None,clean,,clean,http://images.cocodataset.org/train2017/000000089870.jpg,0,0
250,The laptop is facing the chair.,facing,None,clean,,clean,http://images.cocodataset.org/train2017/000000066376.jpg,0,0
410,The teddy bear is facing the person.,facing,None,clean,,clean,http://images.cocodataset.org/val2017/000000439773.jpg,0,0
362,The cat is facing the keyboard.,facing,None,clean,,clean,http://images.cocodataset.org/train2017/000000530730.jpg,0,0
394,The horse is parallel to the cow.,parallel to,None,ambiguous,,ambiguous,http://images.cocodataset.org/train2017/000000441774.jpg,0,0
424,The bed is facing the tv.,facing,None,clean,,clean,http://images.cocodataset.org/train2017/000000146850.jpg,0,0
375,The zebra is facing the person.,facing,None,clean,,clean,http://images.cocodataset.org/train2017/000000263512.jpg,0,0
364,The cat is facing the tv.,facing,None,clean,,clean,http://images.cocodataset.org/val2017/000000476810.jpg,0,0
359,The zebra is facing the car.,facing,None,ambiguous,,ambiguous,http://images.cocodataset.org/train2017/000000473587.jpg,0,0
426,The car is perpendicular to the motorcycle.,perpendicular to,None,clean,,clean,http://images.cocodataset.org/train2017/000000253054.jpg,0,0
508,The suitcase is parallel to the couch.,parallel to,None,clean,,clean,http://images.cocodataset.org/train2017/000000479539.jpg,0,0
513,The cat is facing the laptop.,facing,None,clean,,clean,http://images.cocodataset.org/train2017/000000573877.jpg,0,0
439,The bench is facing away from the car.,facing away from,None,clean,,clean,http://images.cocodataset.org/train2017/000000506483.jpg,0,0
564,The sheep is facing away from the person.,facing away from,None,clean,,clean,http://images.cocodataset.org/train2017/000000091656.jpg,0,0
382,The elephant is facing away from the bus.,facing away from,None,clean,,clean,http://images.cocodataset.org/train2017/000000149551.jpg,0,0
617,The bench is parallel to the person.,parallel to,None,clean,,clean,http://images.cocodataset.org/train2017/000000012704.jpg,0,0
544,The skateboard is parallel to the couch.,parallel to,None,clean,,clean,http://images.cocodataset.org/train2017/000000170584.jpg,0,0
565,The dog is perpendicular to the couch.,perpendicular to,None,clean,,clean,http://images.cocodataset.org/train2017/000000170898.jpg,0,0
582,The banana is facing the cat.,facing,None,clean,,clean,http://images.cocodataset.org/train2017/000000481313.jpg,0,0
594,The book is facing the cat.,facing,None,clean,,clean,http://images.cocodataset.org/train2017/000000499656.jpg,0,0
523,The teddy bear is facing the book.,facing,None,clean,,clean,http://images.cocodataset.org/train2017/000000361778.jpg,0,0
676,The boat is parallel to the truck.,parallel to,None,clean,,clean,http://images.cocodataset.org/train2017/000000267363.jpg,0,0
385,The person is facing the teddy bear.,facing,None,clean,,clean,http://images.cocodataset.org/train2017/000000317797.jpg,0,0
558,The bird is facing away from the cat.,facing away from,None,clean,,clean,http://images.cocodataset.org/train2017/000000072556.jpg,0,0
657,The teddy bear is facing the cow.,facing,None,clean,,clean,http://images.cocodataset.org/train2017/000000285618.jpg,0,0
739,The cat is facing the refrigerator.,facing,None,clean,,clean,http://images.cocodataset.org/train2017/000000477647.jpg,0,0
756,The person is facing the car.,facing,None,clean,,clean,http://images.cocodataset.org/train2017/000000132841.jpg,0,0
859,The cat is facing the sink.,facing,None,clean,,clean,http://images.cocodataset.org/train2017/000000463825.jpg,0,0
728,The bed is perpendicular to the person.,perpendicular to,None,clean,,clean,http://images.cocodataset.org/train2017/000000207826.jpg,0,0
757,The person is facing away from the laptop.,facing away from,None,clean,,clean,http://images.cocodataset.org/train2017/000000021365.jpg,0,0
738,The laptop is facing the cat.,facing,None,clean,,clean,http://images.cocodataset.org/train2017/000000501126.jpg,0,0
868,The person is facing away from the bear.,facing away from,None,clean,,clean,http://images.cocodataset.org/train2017/000000073197.jpg,0,0
834,The bus is perpendicular to the car.,perpendicular to,None,clean,,clean,http://images.cocodataset.org/train2017/000000499267.jpg,0,0
984,The motorcycle is parallel to the bus.,parallel to,None,clean,,clean,http://images.cocodataset.org/train2017/000000142774.jpg,0,0
986,The dog is facing the cake.,facing,None,clean,,clean,http://images.cocodataset.org/train2017/000000373396.jpg,0,0
1018,The car is facing away from the pizza.,facing away from,None,clean,,clean,http://images.cocodataset.org/train2017/000000079798.jpg,0,0
934,The motorcycle is parallel to the car.,parallel to,None,clean,,clean,http://images.cocodataset.org/train2017/000000449889.jpg,0,0
805,The person is facing the frisbee.,facing,None,clean,,clean,http://images.cocodataset.org/train2017/000000468612.jpg,0,0
780,The motorcycle is parallel to the bus.,parallel to,None,clean,,clean,http://images.cocodataset.org/train2017/000000308175.jpg,0,0
937,The zebra is perpendicular to the horse.,perpendicular to,None,clean,,clean,http://images.cocodataset.org/train2017/000000302924.jpg,0,0
911,The cat is facing away from the cake.,facing away from,None,clean,,clean,http://images.cocodataset.org/train2017/000000447741.jpg,0,0
858,The cat is facing away from the toilet.,facing away from,None,clean,,clean,http://images.cocodataset.org/train2017/000000572075.jpg,0,0
1020,The boat is parallel to the truck.,parallel to,None,clean,,clean,http://images.cocodataset.org/train2017/000000562291.jpg,0,0
860,The zebra is facing the person.,facing,None,clean,,clean,http://images.cocodataset.org/train2017/000000484066.jpg,0,0
1042,The dog is facing away from the fire hydrant.,facing away from,None,clean,,clean,http://images.cocodataset.org/train2017/000000198935.jpg,0,0
