id,relation,statement,image_path,image_url,class,notes
14,perpendicular to,The airplane is perpendicular to the truck.,results\iaa\images\id14.jpg,http://images.cocodataset.org/train2017/000000538194.jpg,,
19,parallel to,The truck is parallel to the motorcycle.,results\iaa\images\id19.jpg,http://images.cocodataset.org/train2017/000000302514.jpg,,
22,perpendicular to,The teddy bear is perpendicular to the cake.,results\iaa\images\id22.jpg,http://images.cocodataset.org/train2017/000000033372.jpg,,
33,facing away from,The cat is facing away from the sink.,results\iaa\images\id33.jpg,http://images.cocodataset.org/train2017/000000508846.jpg,,
34,facing away from,The cat is facing away from the toilet.,results\iaa\images\id34.jpg,http://images.cocodataset.org/train2017/000000455365.jpg,,
114,facing,The person is facing the book.,results\iaa\images\id114.jpg,http://images.cocodataset.org/train2017/000000040114.jpg,,
156,facing away from,The person is facing away from the horse.,results\iaa\images\id156.jpg,http://images.cocodataset.org/train2017/000000004972.jpg,,
213,facing,The laptop is facing the sandwich.,results\iaa\images\id213.jpg,http://images.cocodataset.org/train2017/000000302643.jpg,,
239,facing away from,The cat is facing away from the toilet.,results\iaa\images\id239.jpg,http://images.cocodataset.org/train2017/000000518156.jpg,,
250,facing,The laptop is facing the chair.,results\iaa\images\id250.jpg,http://images.cocodataset.org/train2017/000000066376.jpg,,
356,facing,The dog is facing the boat.,results\iaa\images\id356.jpg,http://images.cocodataset.org/train2017/000000030667.jpg,,
362,facing,The cat is facing the keyboard.,results\iaa\images\id362.jpg,http://images.cocodataset.org/train2017/000000530730.jpg,,
375,facing,The zebra is facing the person.,results\iaa\images\id375.jpg,http://images.cocodataset.org/train2017/000000263512.jpg,,
424,facing,The bed is facing the tv.,results\iaa\images\id424.jpg,http://images.cocodataset.org/train2017/000000146850.jpg,,
439,facing away from,The bench is facing away from the car.,results\iaa\images\id439.jpg,http://images.cocodataset.org/train2017/000000506483.jpg,,
508,parallel to,The suitcase is parallel to the couch.,results\iaa\images\id508.jpg,http://images.cocodataset.org/train2017/000000479539.jpg,,
558,facing away from,The bird is facing away from the cat.,results\iaa\images\id558.jpg,http://images.cocodataset.org/train2017/000000072556.jpg,,
564,facing away from,The sheep is facing away from the person.,results\iaa\images\id564.jpg,http://images.cocodataset.org/train2017/000000091656.jpg,,
565,perpendicular to,The dog is perpendicular to the couch.,results\iaa\images\id565.jpg,http://images.cocodataset.org/train2017/000000170898.jpg,,
582,facing,The banana is facing the cat.,results\iaa\images\id582.jpg,http://images.cocodataset.org/train2017/000000481313.jpg,,
657,facing,The teddy bear is facing the cow.,results\iaa\images\id657.jpg,http://images.cocodataset.org/train2017/000000285618.jpg,,
676,parallel to,The boat is parallel to the truck.,results\iaa\images\id676.jpg,http://images.cocodataset.org/train2017/000000267363.jpg,,
834,perpendicular to,The bus is perpendicular to the car.,results\iaa\images\id834.jpg,http://images.cocodataset.org/train2017/000000499267.jpg,,
868,facing away from,The person is facing away from the bear.,results\iaa\images\id868.jpg,http://images.cocodataset.org/train2017/000000073197.jpg,,
937,perpendicular to,The zebra is perpendicular to the horse.,results\iaa\images\id937.jpg,http://images.cocodataset.org/train2017/000000302924.jpg,,
1035,parallel to,The skateboard is parallel to the couch.,results\iaa\images\id1035.jpg,http://images.cocodataset.org/train2017/000000391685.jpg,,
1093,facing away from,The laptop is facing away from the chair.,results\iaa\images\id1093.jpg,http://images.cocodataset.org/train2017/000000131011.jpg,,
1167,facing away from,The dog is facing away from the horse.,results\iaa\images\id1167.jpg,http://images.cocodataset.org/val2017/000000049269.jpg,,
1178,parallel to,The bench is parallel to the person.,results\iaa\images\id1178.jpg,http://images.cocodataset.org/train2017/000000385504.jpg,,
1202,facing,The bird is facing the elephant.,results\iaa\images\id1202.jpg,http://images.cocodataset.org/train2017/000000099628.jpg,,
1266,facing away from,The cat is facing away from the bed.,results\iaa\images\id1266.jpg,http://images.cocodataset.org/train2017/000000175383.jpg,,
1296,facing away from,The horse is facing away from the zebra.,results\iaa\images\id1296.jpg,http://images.cocodataset.org/train2017/000000568005.jpg,,
1312,facing away from,The hair drier is facing away from the person.,results\iaa\images\id1312.jpg,http://images.cocodataset.org/train2017/000000092020.jpg,,
1384,parallel to,The person is parallel to the snowboard.,results\iaa\images\id1384.jpg,http://images.cocodataset.org/train2017/000000409025.jpg,,
1400,facing away from,The cat is facing away from the suitcase.,results\iaa\images\id1400.jpg,http://images.cocodataset.org/train2017/000000159118.jpg,,
1405,facing,The teddy bear is facing the book.,results\iaa\images\id1405.jpg,http://images.cocodataset.org/train2017/000000369653.jpg,,
1490,facing away from,The laptop is facing away from the person.,results\iaa\images\id1490.jpg,http://images.cocodataset.org/train2017/000000517967.jpg,,
1559,facing,The cat is facing the laptop.,results\iaa\images\id1559.jpg,http://images.cocodataset.org/train2017/000000369208.jpg,,
1608,parallel to,The book is parallel to the bed.,results\iaa\images\id1608.jpg,http://images.cocodataset.org/train2017/000000364725.jpg,,
1611,facing,The cat is facing the backpack.,results\iaa\images\id1611.jpg,http://images.cocodataset.org/train2017/000000207093.jpg,,
1662,parallel to,The car is parallel to the motorcycle.,results\iaa\images\id1662.jpg,http://images.cocodataset.org/train2017/000000326689.jpg,,
1815,parallel to,The bicycle is parallel to the motorcycle.,results\iaa\images\id1815.jpg,http://images.cocodataset.org/train2017/000000223930.jpg,,
1905,facing,The teddy bear is facing the person.,results\iaa\images\id1905.jpg,http://images.cocodataset.org/train2017/000000002839.jpg,,
1939,facing away from,The person is facing away from the refrigerator.,results\iaa\images\id1939.jpg,http://images.cocodataset.org/train2017/000000272253.jpg,,
1953,facing away from,The cow is facing away from the person.,results\iaa\images\id1953.jpg,http://images.cocodataset.org/train2017/000000146236.jpg,,
2034,facing away from,The bench is facing away from the parking meter.,results\iaa\images\id2034.jpg,http://images.cocodataset.org/train2017/000000544094.jpg,,
2059,perpendicular to,The car is perpendicular to the motorcycle.,results\iaa\images\id2059.jpg,http://images.cocodataset.org/train2017/000000385145.jpg,,
2151,facing,The bear is facing the person.,results\iaa\images\id2151.jpg,http://images.cocodataset.org/train2017/000000015391.jpg,,
