id,statement,relation,ground_truth,prediction,correct,raw_output,image_url
0,The person is inside the refrigerator.,inside,True,True,True, True,http://images.cocodataset.org/train2017/000000451431.jpg
1,The cake consists of the dog.,consists of,True,False,False, False,http://images.cocodataset.org/train2017/000000287427.jpg
2,The bird is above the cat.,above,False,True,False, True,http://images.cocodataset.org/train2017/000000072556.jpg
3,The laptop is facing the sandwich.,facing,False,True,False, True,http://images.cocodataset.org/train2017/000000519404.jpg
4,The elephant is inside the truck.,inside,False,False,True, False,http://images.cocodataset.org/train2017/000000294749.jpg
5,The cat is at the edge of the dining table.,at the edge of,False,True,False, True,http://images.cocodataset.org/train2017/000000572993.jpg
6,The bench is touching the dining table.,touching,True,True,True, True,http://images.cocodataset.org/train2017/000000550405.jpg
7,The motorcycle is in front of the truck.,in front of,True,True,True, True,http://images.cocodataset.org/train2017/000000057381.jpg
8,The bench is beside the bed.,beside,True,True,True, True,http://images.cocodataset.org/train2017/000000268227.jpg
9,The bench is behind the teddy bear.,behind,False,False,True, False,http://images.cocodataset.org/train2017/000000395531.jpg
10,The motorcycle is in front of the truck.,in front of,False,True,False, True,http://images.cocodataset.org/train2017/000000120207.jpg
11,The bed is at the left side of the bench.,at the left side of,True,True,True, True,http://images.cocodataset.org/train2017/000000262118.jpg
12,The potted plant is behind the fire hydrant.,behind,True,True,True, True,http://images.cocodataset.org/train2017/000000408351.jpg
13,The cat is inside the vase.,inside,True,True,True, True,http://images.cocodataset.org/train2017/000000261225.jpg
14,The airplane is perpendicular to the truck.,perpendicular to,True,True,True, True,http://images.cocodataset.org/train2017/000000538194.jpg
15,The bowl contains the apple.,contains,False,False,True, False,http://images.cocodataset.org/val2017/000000407825.jpg
16,The cat is at the edge of the sink.,at the edge of,False,True,False, True,http://images.cocodataset.org/train2017/000000419051.jpg
17,The potted plant is touching the teddy bear.,touching,True,True,True, True,http://images.cocodataset.org/train2017/000000380299.jpg
18,The bowl contains the banana.,contains,False,False,True, False,http://images.cocodataset.org/train2017/000000266622.jpg
19,The truck is parallel to the motorcycle.,parallel to,False,True,False, True,http://images.cocodataset.org/train2017/000000302514.jpg
20,The bus is away from the cup.,away from,True,True,True, True,http://images.cocodataset.org/train2017/000000067373.jpg
21,The toilet is in the train.,in,False,False,True, False,http://images.cocodataset.org/train2017/000000391774.jpg
22,The teddy bear is perpendicular to the cake.,perpendicular to,True,True,True, True,http://images.cocodataset.org/train2017/000000033372.jpg
23,The cat is on top of the umbrella.,on top of,True,True,True, True,http://images.cocodataset.org/train2017/000000001139.jpg
24,The cup is beside the sandwich.,beside,True,True,True, True,http://images.cocodataset.org/train2017/000000202998.jpg
25,The laptop is at the left side of the cake.,at the left side of,False,False,True, False,http://images.cocodataset.org/train2017/000000512569.jpg
26,The umbrella is attached to the banana.,attached to,False,False,True, False,http://images.cocodataset.org/train2017/000000159296.jpg
27,The apple is above the orange.,above,False,True,False, True,http://images.cocodataset.org/train2017/000000508412.jpg
28,The truck is below the elephant.,below,True,True,True, True,http://images.cocodataset.org/train2017/000000461902.jpg
29,The bicycle is in front of the cat.,in front of,True,True,True, True,http://images.cocodataset.org/train2017/000000193488.jpg
30,The pizza is touching the person.,touching,True,True,True, True,http://images.cocodataset.org/train2017/000000114169.jpg
31,The sheep is at the edge of the cake.,at the edge of,True,True,True, True,http://images.cocodataset.org/train2017/000000409808.jpg
32,The teddy bear is at the side of the person.,at the side of,False,False,True, False,http://images.cocodataset.org/train2017/000000451680.jpg
33,The cat is facing away from the sink.,facing away from,True,True,True, True,http://images.cocodataset.org/train2017/000000508846.jpg
34,The cat is facing away from the toilet.,facing away from,True,True,True, True,http://images.cocodataset.org/train2017/000000455365.jpg
35,The cat is on top of the umbrella.,on top of,False,False,True, False,http://images.cocodataset.org/train2017/000000466789.jpg
36,The truck is under the couch.,under,True,True,True, True,http://images.cocodataset.org/train2017/000000358630.jpg
37,The orange is at the right side of the sandwich.,at the right side of,True,True,True, True,http://images.cocodataset.org/train2017/000000260248.jpg
38,The train contains the bicycle.,contains,True,True,True, True,http://images.cocodataset.org/train2017/000000344271.jpg
39,The oven is in front of the cake.,in front of,True,True,True, True,http://images.cocodataset.org/train2017/000000185777.jpg
40,The boat is in the tv.,in,False,False,True, False,http://images.cocodataset.org/train2017/000000024215.jpg
41,The teddy bear is beneath the dog.,beneath,True,True,True, True,http://images.cocodataset.org/train2017/000000054643.jpg
42,The bench is part of the train.,part of,True,True,True, True,http://images.cocodataset.org/train2017/000000245450.jpg
43,The truck is below the elephant.,below,True,True,True, True,http://images.cocodataset.org/train2017/000000027989.jpg
44,The chair is touching the teddy bear.,touching,False,True,False, True,http://images.cocodataset.org/train2017/000000364722.jpg
45,The person is alongside the oven.,alongside,True,True,True, True,http://images.cocodataset.org/train2017/000000281111.jpg
46,The fire hydrant is near the car.,near,False,False,True, False,http://images.cocodataset.org/train2017/000000035814.jpg
47,The car has as a part the bed.,has as a part,True,True,True, True,http://images.cocodataset.org/train2017/000000477061.jpg
48,The apple is on the dining table.,on,False,False,True, False,http://images.cocodataset.org/train2017/000000333796.jpg
49,The chair is behind the cat.,behind,True,False,False, False,http://images.cocodataset.org/train2017/000000421689.jpg
50,The cow contains the tv.,contains,True,True,True, True,http://images.cocodataset.org/val2017/000000180383.jpg
51,The bowl is beneath the spoon.,beneath,False,True,False, True,http://images.cocodataset.org/train2017/000000326594.jpg
52,The cat is in the toilet.,in,False,True,False, True,http://images.cocodataset.org/train2017/000000225322.jpg
53,The zebra is at the back of the truck.,at the back of,True,False,False, False,http://images.cocodataset.org/train2017/000000319902.jpg
54,The bed is beside the person.,beside,True,True,True, True,http://images.cocodataset.org/train2017/000000160890.jpg
55,The car is far away from the stop sign.,far away from,True,True,True, True,http://images.cocodataset.org/val2017/000000283038.jpg
56,The laptop is at the left side of the banana.,at the left side of,True,True,True, True,http://images.cocodataset.org/train2017/000000093469.jpg
57,The bus contains the dog.,contains,False,False,True, False,http://images.cocodataset.org/train2017/000000569177.jpg
58,The horse is at the back of the truck.,at the back of,True,True,True, True,http://images.cocodataset.org/train2017/000000295460.jpg
59,The cat is at the left side of the laptop.,at the left side of,False,False,True, False,http://images.cocodataset.org/train2017/000000232394.jpg
60,The suitcase is far from the cat.,far from,False,False,True, False,http://images.cocodataset.org/train2017/000000067307.jpg
61,The cake is in front of the dog.,in front of,False,False,True, False,http://images.cocodataset.org/train2017/000000113326.jpg
62,The teddy bear is in the car.,in,True,True,True, True,http://images.cocodataset.org/train2017/000000274657.jpg
63,The bench is touching the dining table.,touching,False,False,True, False,http://images.cocodataset.org/train2017/000000462023.jpg
64,The cat is at the left side of the teddy bear.,at the left side of,False,True,False, True,http://images.cocodataset.org/train2017/000000555951.jpg
65,The car contains the dog.,contains,False,False,True, False,http://images.cocodataset.org/train2017/000000374922.jpg
66,The person is touching the pizza.,touching,False,False,True, False,http://images.cocodataset.org/train2017/000000144641.jpg
67,The dining table is below the truck.,below,False,False,True, False,http://images.cocodataset.org/train2017/000000082894.jpg
68,The dining table is beneath the pizza.,beneath,True,True,True, True,http://images.cocodataset.org/train2017/000000334085.jpg
69,The book is behind the cat.,behind,False,True,False, True,http://images.cocodataset.org/train2017/000000014766.jpg
70,The person is touching the hot dog.,touching,True,True,True, True,http://images.cocodataset.org/train2017/000000325473.jpg
71,The broccoli is beside the bowl.,beside,False,False,True, False,http://images.cocodataset.org/train2017/000000355881.jpg
72,The dog is touching the cat.,touching,True,True,True, True,http://images.cocodataset.org/train2017/000000456376.jpg
73,The suitcase is on top of the person.,on top of,False,True,False, True,http://images.cocodataset.org/train2017/000000435986.jpg
74,The handbag is attached to the person.,attached to,False,True,False, True,http://images.cocodataset.org/train2017/000000398305.jpg
75,The person is at the left side of the truck.,at the left side of,True,True,True, True,http://images.cocodataset.org/train2017/000000570956.jpg
76,The microwave is under the cat.,under,False,False,True, False,http://images.cocodataset.org/train2017/000000019131.jpg
77,The handbag is beside the sink.,beside,True,True,True, True,http://images.cocodataset.org/train2017/000000022656.jpg
78,The bench is far from the teddy bear.,far from,True,False,False, False,http://images.cocodataset.org/train2017/000000306749.jpg
79,The pizza is in the dog.,in,True,True,True, True,http://images.cocodataset.org/train2017/000000091057.jpg
80,The person is in front of the refrigerator.,in front of,True,True,True, True,http://images.cocodataset.org/train2017/000000261305.jpg
81,The cat is facing away from the tv.,facing away from,False,True,False, True,http://images.cocodataset.org/train2017/000000469661.jpg
82,The bed is beneath the suitcase.,beneath,True,True,True, True,http://images.cocodataset.org/train2017/000000103582.jpg
83,The person is inside the boat.,inside,True,True,True, True,http://images.cocodataset.org/train2017/000000450711.jpg
84,The clock is at the left side of the bird.,at the left side of,False,False,True, False,http://images.cocodataset.org/train2017/000000171067.jpg
85,The pizza is at the left side of the dog.,at the left side of,True,True,True, True,http://images.cocodataset.org/train2017/000000508555.jpg
86,The person is above the cell phone.,above,False,False,True, False,http://images.cocodataset.org/train2017/000000574776.jpg
