id,relation,statement,label,wrong_count,annotation,notes
239,facing away from,The cat is facing away from the toilet.,True,4,annotation_questionable,"Cat is IN the toilet facing INTO the bowl; label 'facing away from' seems incorrect; all models predicted False which seems correct"
564,facing away from,The sheep is facing away from the person.,False,4,intrinsic_orientation_ambiguous,"Sheep being sheared; facing perpendicular to person into wall; 'facing away from' is debatable for a sheep at a shearing station"
1093,facing away from,The laptop is facing away from the chair.,True,4,front_back_object_ambiguous,"Laptop on desk; chair barely visible in upper-left corner; spatial relationship requires inference about unseen chair position"
1312,facing away from,The hair drier is facing away from the person.,True,4,intrinsic_orientation_ambiguous,"Person holds dryer pointing at dog; dryer nozzle faces away from person which is correct; but hair dryers have debatable intrinsic orientation"
1384,parallel to,The person is parallel to the snowboard.,False,4,parallel_perpendicular_geometry,"Person sitting on snow facing camera; snowboard runs left-right; person's body axis is perpendicular to snowboard; models fail on geometric assessment"
1905,facing,The teddy bear is facing the person.,True,4,annotation_questionable,"Close-up of baby with teddy bear to left; teddy faces camera not baby; label True seems incorrect; extreme close-up obscures spatial context"
2034,facing away from,The bench is facing away from the parking meter.,False,4,camera_viewpoint_ambiguity,"Overhead view of wooden deck/platform with parking meter in bamboo; no clear 'bench' or facing direction; high-angle view distorts orientation"
2059,perpendicular to,The car is perpendicular to the motorcycle.,True,4,camera_viewpoint_ambiguity,"Electric scooter foreground; taxi car background; different depths make perpendicularity hard to assess; car is small and distant"
14,perpendicular to,The airplane is perpendicular to the truck.,True,3,parallel_perpendicular_geometry,"Catering truck positioned alongside airplane at gate; truck approaches perpendicular to fuselage; clear geometric relationship but models miss it"
19,parallel to,The truck is parallel to the motorcycle.,False,3,parallel_perpendicular_geometry,"Motorcycle facing camera-left on grass; dark SUV/truck behind at different angle; objects not parallel; depth separation complicates assessment"
22,perpendicular to,The teddy bear is perpendicular to the cake.,True,3,annotation_questionable,"Teddy bear figurine sitting on cake facing forward; 'perpendicular to a cake' is semantically meaningless; cake has no meaningful orientation"
33,facing away from,The cat is facing away from the sink.,True,3,clear_image_model_reasoning_failure,"Cat lying in white basin facing camera; sink is behind cat; cat IS facing away from sink; image is clear but models got it wrong"
34,facing away from,The cat is facing away from the toilet.,True,3,clear_image_model_reasoning_failure,"Black cat sitting on toilet seat facing camera; toilet tank behind cat; cat IS facing away from toilet; clear image, models wrong"
114,facing,The person is facing the book.,False,3,front_back_object_ambiguous,"Boy holds football book facing camera; boy faces camera not book; both face camera; 'facing the book' requires distinguishing gaze from proximity"
