transform,relation,status,expected_truth_behavior,reason,eligible_n,excluded_n
facingcomp,above,not_in_scope,flip_law,not a facing/facing-away relation (dedicated transform scope),0,65
facingcomp,across,not_in_scope,flip_law,not a facing/facing-away relation (dedicated transform scope),0,3
facingcomp,across from,not_in_scope,flip_law,not a facing/facing-away relation (dedicated transform scope),0,12
facingcomp,adjacent to,not_in_scope,flip_law,not a facing/facing-away relation (dedicated transform scope),0,12
facingcomp,against,not_in_scope,flip_law,not a facing/facing-away relation (dedicated transform scope),0,6
facingcomp,ahead of,not_in_scope,flip_law,not a facing/facing-away relation (dedicated transform scope),0,8
facingcomp,along,not_in_scope,flip_law,not a facing/facing-away relation (dedicated transform scope),0,2
facingcomp,alongside,not_in_scope,flip_law,not a facing/facing-away relation (dedicated transform scope),0,9
facingcomp,around,not_in_scope,flip_law,not a facing/facing-away relation (dedicated transform scope),0,1
facingcomp,at,not_in_scope,flip_law,not a facing/facing-away relation (dedicated transform scope),0,1
facingcomp,at the back of,not_in_scope,flip_law,not a facing/facing-away relation (dedicated transform scope),0,22
facingcomp,at the edge of,not_in_scope,flip_law,not a facing/facing-away relation (dedicated transform scope),0,37
facingcomp,at the left side of,not_in_scope,flip_law,not a facing/facing-away relation (dedicated transform scope),0,96
facingcomp,at the right side of,not_in_scope,flip_law,not a facing/facing-away relation (dedicated transform scope),0,80
facingcomp,at the side of,not_in_scope,flip_law,not a facing/facing-away relation (dedicated transform scope),0,8
facingcomp,attached to,not_in_scope,flip_law,not a facing/facing-away relation (dedicated transform scope),0,11
facingcomp,away from,not_in_scope,flip_law,not a facing/facing-away relation (dedicated transform scope),0,35
facingcomp,behind,not_in_scope,flip_law,not a facing/facing-away relation (dedicated transform scope),0,150
facingcomp,below,not_in_scope,flip_law,not a facing/facing-away relation (dedicated transform scope),0,64
facingcomp,beneath,not_in_scope,flip_law,not a facing/facing-away relation (dedicated transform scope),0,53
facingcomp,beside,not_in_scope,flip_law,not a facing/facing-away relation (dedicated transform scope),0,37
facingcomp,beyond,not_in_scope,flip_law,not a facing/facing-away relation (dedicated transform scope),0,5
facingcomp,by,not_in_scope,flip_law,not a facing/facing-away relation (dedicated transform scope),0,15
facingcomp,close to,not_in_scope,flip_law,not a facing/facing-away relation (dedicated transform scope),0,20
facingcomp,connected to,not_in_scope,flip_law,not a facing/facing-away relation (dedicated transform scope),0,5
facingcomp,consists of,not_in_scope,flip_law,not a facing/facing-away relation (dedicated transform scope),0,4
