id,relation,statement,image_path,image_url,rating_clean,notes
3,facing,The laptop is facing the sandwich.,results\iaa\images\id3.jpg,http://images.cocodataset.org/train2017/000000519404.jpg,ambiguous,
14,perpendicular to,The airplane is perpendicular to the truck.,results\iaa\images\id14.jpg,http://images.cocodataset.org/train2017/000000538194.jpg,clean,
19,parallel to,The truck is parallel to the motorcycle.,results\iaa\images\id19.jpg,http://images.cocodataset.org/train2017/000000302514.jpg,ambiguous,
22,perpendicular to,The teddy bear is perpendicular to the cake.,results\iaa\images\id22.jpg,http://images.cocodataset.org/train2017/000000033372.jpg,clean,
33,facing away from,The cat is facing away from the sink.,results\iaa\images\id33.jpg,http://images.cocodataset.org/train2017/000000508846.jpg,clean,
34,facing away from,The cat is facing away from the toilet.,results\iaa\images\id34.jpg,http://images.cocodataset.org/train2017/000000455365.jpg,clean,
81,facing away from,The cat is facing away from the tv.,results\iaa\images\id81.jpg,http://images.cocodataset.org/train2017/000000469661.jpg,ambiguous,
106,facing away from,The parking meter is facing away from the person.,results\iaa\images\id106.jpg,http://images.cocodataset.org/train2017/000000567205.jpg,clean,
114,facing,The person is facing the book.,results\iaa\images\id114.jpg,http://images.cocodataset.org/train2017/000000040114.jpg,clean,
156,facing away from,The person is facing away from the horse.,results\iaa\images\id156.jpg,http://images.cocodataset.org/train2017/000000004972.jpg,clean,
170,facing away from,The person is facing away from the cow.,results\iaa\images\id170.jpg,http://images.cocodataset.org/train2017/000000221771.jpg,ambiguous,
171,facing,The teddy bear is facing the cow.,results\iaa\images\id171.jpg,http://images.cocodataset.org/train2017/000000459644.jpg,clean,
189,parallel to,The bus is parallel to the motorcycle.,results\iaa\images\id189.jpg,http://images.cocodataset.org/train2017/000000087705.jpg,clean,
211,facing away from,The bus is facing away from the cow.,results\iaa\images\id211.jpg,http://images.cocodataset.org/train2017/000000162355.jpg,clean,
213,facing,The laptop is facing the sandwich.,results\iaa\images\id213.jpg,http://images.cocodataset.org/train2017/000000302643.jpg,clean,
230,facing away from,The teddy bear is facing away from the book.,results\iaa\images\id230.jpg,http://images.cocodataset.org/train2017/000000089870.jpg,clean,
239,facing away from,The cat is facing away from the toilet.,results\iaa\images\id239.jpg,http://images.cocodataset.org/train2017/000000518156.jpg,ambiguous,
250,facing,The laptop is facing the chair.,results\iaa\images\id250.jpg,http://images.cocodataset.org/train2017/000000066376.jpg,ambiguous,
280,facing,The person is facing the teddy bear.,results\iaa\images\id280.jpg,http://images.cocodataset.org/train2017/000000041753.jpg,clean,
356,facing,The dog is facing the boat.,results\iaa\images\id356.jpg,http://images.cocodataset.org/train2017/000000030667.jpg,ambiguous,
357,facing,The person is facing the bear.,results\iaa\images\id357.jpg,http://images.cocodataset.org/train2017/000000541911.jpg,ambiguous,
359,facing,The zebra is facing the car.,results\iaa\images\id359.jpg,http://images.cocodataset.org/train2017/000000473587.jpg,ambiguous,
362,facing,The cat is facing the keyboard.,results\iaa\images\id362.jpg,http://images.cocodataset.org/train2017/000000530730.jpg,clean,
364,facing,The cat is facing the tv.,results\iaa\images\id364.jpg,http://images.cocodataset.org/val2017/000000476810.jpg,ambiguous,
375,facing,The zebra is facing the person.,results\iaa\images\id375.jpg,http://images.cocodataset.org/train2017/000000263512.jpg,clean,
382,facing away from,The elephant is facing away from the bus.,results\iaa\images\id382.jpg,http://images.cocodataset.org/train2017/000000149551.jpg,clean,
385,facing,The person is facing the teddy bear.,results\iaa\images\id385.jpg,http://images.cocodataset.org/train2017/000000317797.jpg,clean,
394,parallel to,The horse is parallel to the cow.,results\iaa\images\id394.jpg,http://images.cocodataset.org/train2017/000000441774.jpg,ambiguous,
410,facing,The teddy bear is facing the person.,results\iaa\images\id410.jpg,http://images.cocodataset.org/val2017/000000439773.jpg,clean,
424,facing,The bed is facing the tv.,results\iaa\images\id424.jpg,http://images.cocodataset.org/train2017/000000146850.jpg,clean,
426,perpendicular to,The car is perpendicular to the motorcycle.,results\iaa\images\id426.jpg,http://images.cocodataset.org/train2017/000000253054.jpg,ambiguous,
439,facing away from,The bench is facing away from the car.,results\iaa\images\id439.jpg,http://images.cocodataset.org/train2017/000000506483.jpg,ambiguous,
508,parallel to,The suitcase is parallel to the couch.,results\iaa\images\id508.jpg,http://images.cocodataset.org/train2017/000000479539.jpg,ambiguous,
