run_id,model_id,provider,eval_date_utc,item_id,relation,raw_response,parsed_clean,invalid_reason,latency_ms
gpt56sol_clean_ambiguity_137_20260812,GPT-5.6 Sol,OpenAI,2026-08-12,3,facing,CLEAN,CLEAN,,
gpt56sol_clean_ambiguity_137_20260812,GPT-5.6 Sol,OpenAI,2026-08-12,14,perpendicular to,CLEAN,CLEAN,,
gpt56sol_clean_ambiguity_137_20260812,GPT-5.6 Sol,OpenAI,2026-08-12,19,parallel to,AMBIGUOUS,AMBIGUOUS,,
gpt56sol_clean_ambiguity_137_20260812,GPT-5.6 Sol,OpenAI,2026-08-12,22,perpendicular to,AMBIGUOUS,AMBIGUOUS,,
gpt56sol_clean_ambiguity_137_20260812,GPT-5.6 Sol,OpenAI,2026-08-12,33,facing away from,AMBIGUOUS,AMBIGUOUS,,
gpt56sol_clean_ambiguity_137_20260812,GPT-5.6 Sol,OpenAI,2026-08-12,34,facing away from,AMBIGUOUS,AMBIGUOUS,,
gpt56sol_clean_ambiguity_137_20260812,GPT-5.6 Sol,OpenAI,2026-08-12,81,facing away from,AMBIGUOUS,AMBIGUOUS,,
gpt56sol_clean_ambiguity_137_20260812,GPT-5.6 Sol,OpenAI,2026-08-12,106,facing away from,AMBIGUOUS,AMBIGUOUS,,
gpt56sol_clean_ambiguity_137_20260812,GPT-5.6 Sol,OpenAI,2026-08-12,114,facing,CLEAN,CLEAN,,
gpt56sol_clean_ambiguity_137_20260812,GPT-5.6 Sol,OpenAI,2026-08-12,156,facing away from,CLEAN,CLEAN,,
gpt56sol_clean_ambiguity_137_20260812,GPT-5.6 Sol,OpenAI,2026-08-12,170,facing away from,AMBIGUOUS,AMBIGUOUS,,
gpt56sol_clean_ambiguity_137_20260812,GPT-5.6 Sol,OpenAI,2026-08-12,171,facing,AMBIGUOUS,AMBIGUOUS,,
gpt56sol_clean_ambiguity_137_20260812,GPT-5.6 Sol,OpenAI,2026-08-12,189,parallel to,CLEAN,CLEAN,,
gpt56sol_clean_ambiguity_137_20260812,GPT-5.6 Sol,OpenAI,2026-08-12,211,facing away from,AMBIGUOUS,AMBIGUOUS,,
gpt56sol_clean_ambiguity_137_20260812,GPT-5.6 Sol,OpenAI,2026-08-12,213,facing,CLEAN,CLEAN,,
gpt56sol_clean_ambiguity_137_20260812,GPT-5.6 Sol,OpenAI,2026-08-12,230,facing away from,CLEAN,CLEAN,,
gpt56sol_clean_ambiguity_137_20260812,GPT-5.6 Sol,OpenAI,2026-08-12,239,facing away from,AMBIGUOUS,AMBIGUOUS,,
gpt56sol_clean_ambiguity_137_20260812,GPT-5.6 Sol,OpenAI,2026-08-12,250,facing,AMBIGUOUS,AMBIGUOUS,,
gpt56sol_clean_ambiguity_137_20260812,GPT-5.6 Sol,OpenAI,2026-08-12,280,facing,CLEAN,CLEAN,,
gpt56sol_clean_ambiguity_137_20260812,GPT-5.6 Sol,OpenAI,2026-08-12,356,facing,AMBIGUOUS,AMBIGUOUS,,
gpt56sol_clean_ambiguity_137_20260812,GPT-5.6 Sol,OpenAI,2026-08-12,357,facing,AMBIGUOUS,AMBIGUOUS,,
gpt56sol_clean_ambiguity_137_20260812,GPT-5.6 Sol,OpenAI,2026-08-12,359,facing,AMBIGUOUS,AMBIGUOUS,,
gpt56sol_clean_ambiguity_137_20260812,GPT-5.6 Sol,OpenAI,2026-08-12,362,facing,CLEAN,CLEAN,,
gpt56sol_clean_ambiguity_137_20260812,GPT-5.6 Sol,OpenAI,2026-08-12,364,facing,AMBIGUOUS,AMBIGUOUS,,
gpt56sol_clean_ambiguity_137_20260812,GPT-5.6 Sol,OpenAI,2026-08-12,375,facing,CLEAN,CLEAN,,
gpt56sol_clean_ambiguity_137_20260812,GPT-5.6 Sol,OpenAI,2026-08-12,382,facing away from,CLEAN,CLEAN,,
gpt56sol_clean_ambiguity_137_20260812,GPT-5.6 Sol,OpenAI,2026-08-12,385,facing,CLEAN,CLEAN,,
gpt56sol_clean_ambiguity_137_20260812,GPT-5.6 Sol,OpenAI,2026-08-12,394,parallel to,AMBIGUOUS,AMBIGUOUS,,
gpt56sol_clean_ambiguity_137_20260812,GPT-5.6 Sol,OpenAI,2026-08-12,410,facing,AMBIGUOUS,AMBIGUOUS,,
gpt56sol_clean_ambiguity_137_20260812,GPT-5.6 Sol,OpenAI,2026-08-12,424,facing,AMBIGUOUS,AMBIGUOUS,,
gpt56sol_clean_ambiguity_137_20260812,GPT-5.6 Sol,OpenAI,2026-08-12,426,perpendicular to,CLEAN,CLEAN,,
gpt56sol_clean_ambiguity_137_20260812,GPT-5.6 Sol,OpenAI,2026-08-12,439,facing away from,AMBIGUOUS,AMBIGUOUS,,
gpt56sol_clean_ambiguity_137_20260812,GPT-5.6 Sol,OpenAI,2026-08-12,508,parallel to,AMBIGUOUS,AMBIGUOUS,,
gpt56sol_clean_ambiguity_137_20260812,GPT-5.6 Sol,OpenAI,2026-08-12,513,facing,CLEAN,CLEAN,,
gpt56sol_clean_ambiguity_137_20260812,GPT-5.6 Sol,OpenAI,2026-08-12,523,facing,CLEAN,CLEAN,,
gpt56sol_clean_ambiguity_137_20260812,GPT-5.6 Sol,OpenAI,2026-08-12,544,parallel to,CLEAN,CLEAN,,
gpt56sol_clean_ambiguity_137_20260812,GPT-5.6 Sol,OpenAI,2026-08-12,558,facing away from,CLEAN,CLEAN,,
gpt56sol_clean_ambiguity_137_20260812,GPT-5.6 Sol,OpenAI,2026-08-12,564,facing away from,AMBIGUOUS,AMBIGUOUS,,
gpt56sol_clean_ambiguity_137_20260812,GPT-5.6 Sol,OpenAI,2026-08-12,565,perpendicular to,AMBIGUOUS,AMBIGUOUS,,
gpt56sol_clean_ambiguity_137_20260812,GPT-5.6 Sol,OpenAI,2026-08-12,582,facing,AMBIGUOUS,AMBIGUOUS,,
gpt56sol_clean_ambiguity_137_20260812,GPT-5.6 Sol,OpenAI,2026-08-12,594,facing,AMBIGUOUS,AMBIGUOUS,,
gpt56sol_clean_ambiguity_137_20260812,GPT-5.6 Sol,OpenAI,2026-08-12,617,parallel to,CLEAN,CLEAN,,
gpt56sol_clean_ambiguity_137_20260812,GPT-5.6 Sol,OpenAI,2026-08-12,657,facing,CLEAN,CLEAN,,
gpt56sol_clean_ambiguity_137_20260812,GPT-5.6 Sol,OpenAI,2026-08-12,676,parallel to,CLEAN,CLEAN,,
gpt56sol_clean_ambiguity_137_20260812,GPT-5.6 Sol,OpenAI,2026-08-12,728,perpendicular to,AMBIGUOUS,AMBIGUOUS,,
gpt56sol_clean_ambiguity_137_20260812,GPT-5.6 Sol,OpenAI,2026-08-12,738,facing,CLEAN,CLEAN,,
gpt56sol_clean_ambiguity_137_20260812,GPT-5.6 Sol,OpenAI,2026-08-12,739,facing,CLEAN,CLEAN,,
gpt56sol_clean_ambiguity_137_20260812,GPT-5.6 Sol,OpenAI,2026-08-12,756,facing,CLEAN,CLEAN,,
gpt56sol_clean_ambiguity_137_20260812,GPT-5.6 Sol,OpenAI,2026-08-12,757,facing away from,CLEAN,CLEAN,,
gpt56sol_clean_ambiguity_137_20260812,GPT-5.6 Sol,OpenAI,2026-08-12,780,parallel to,AMBIGUOUS,AMBIGUOUS,,
gpt56sol_clean_ambiguity_137_20260812,GPT-5.6 Sol,OpenAI,2026-08-12,805,facing,CLEAN,CLEAN,,
gpt56sol_clean_ambiguity_137_20260812,GPT-5.6 Sol,OpenAI,2026-08-12,834,perpendicular to,CLEAN,CLEAN,,
