item_id,relation,statement,image_file,raw_response,parsed_taxonomy,notes
14,perpendicular to,The airplane is perpendicular to the truck.,id14.jpg,parallel_perpendicular_geometry,parallel_perpendicular_geometry,The catering truck is positioned perpendicular (at a 90-degree angle) relative to the aircraft's body.
19,parallel to,The truck is parallel to the motorcycle.,id19.jpg,parallel_perpendicular_geometry,parallel_perpendicular_geometry,The truck and motorcycle do not show a parallel spatial alignment.
22,perpendicular to,The teddy bear is perpendicular to the cake.,id22.jpg,parallel_perpendicular_geometry,parallel_perpendicular_geometry,The teddy bear and cake do not exhibit a perpendicular 90-degree spatial relationship.
33,facing away from,The cat is facing away from the sink.,id33.jpg,subject_reference_inversion,subject_reference_inversion,The cat is oriented facing directly toward the sink rather than away from it.
34,facing away from,The cat is facing away from the toilet.,id34.jpg,front_back_object_ambiguous,front_back_object_ambiguous,The cat is positioned with its back turned toward the toilet.
114,facing,The person is facing the book.,id114.jpg,clear_image_model_reasoning_failure,clear_image_model_reasoning_failure,The person is oriented looking directly at the book.
156,facing away from,The person is facing away from the horse.,id156.jpg,subject_reference_inversion,subject_reference_inversion,The person is turned toward the horse rather than facing away from it.
213,facing,The laptop is facing the sandwich.,id213.jpg,clear_image_model_reasoning_failure,clear_image_model_reasoning_failure,The open laptop screen and keyboard face the sandwich placed directly in front of it.
239,facing away from,The cat is facing away from the toilet.,id239.jpg,subject_reference_inversion,subject_reference_inversion,The cat is facing toward the toilet rather than away from it.
250,facing,The laptop is facing the chair.,id250.jpg,clear_image_model_reasoning_failure,clear_image_model_reasoning_failure,The open laptop screen faces directly toward the chair across from it.
356,facing,The dog is facing the boat.,id356.jpg,clear_image_model_reasoning_failure,clear_image_model_reasoning_failure,The dog is standing on the dock/shore facing toward the boat.
362,facing,The cat is facing the keyboard.,id362.jpg,clear_image_model_reasoning_failure,clear_image_model_reasoning_failure,The cat is sitting directly in front of and facing the keyboard.
375,facing,The zebra is facing the person.,id375.jpg,clear_image_model_reasoning_failure,clear_image_model_reasoning_failure,The zebra is oriented facing toward the person.
424,facing,The bed is facing the tv.,id424.jpg,clear_image_model_reasoning_failure,clear_image_model_reasoning_failure,Standard bedroom layout where the bed faces the TV.
439,facing away from,The bench is facing away from the car.,id439.jpg,clear_image_model_reasoning_failure,clear_image_model_reasoning_failure,Bench seating direction faces away from the vehicle behind it.
508,parallel to,The suitcase is parallel to the couch.,id508.jpg,clear_image_model_reasoning_failure,clear_image_model_reasoning_failure,Suitcase is placed parallel to the couch.
558,facing away from,The bird is facing away from the cat.,id558.jpg,clear_image_model_reasoning_failure,clear_image_model_reasoning_failure,Bird is oriented facing away from the cat.
564,facing away from,The sheep is facing away from the person.,id564.jpg,clear_image_model_reasoning_failure,clear_image_model_reasoning_failure,Sheep is oriented away from the person.
565,perpendicular to,The dog is perpendicular to the couch.,id565.jpg,parallel_perpendicular_geometry,parallel_perpendicular_geometry,Perpendicular orientation between dog and couch.
