id,statement,relation,label,subject,object,image,heuristic_reasons,model_pred,model_disagree,final_status
21,The person is facing the oven.,facing,True,person,oven,http://images.cocodataset.org/train2017/000000575487.jpg,,,,
50,The elephant is facing the person.,facing,True,elephant,person,http://images.cocodataset.org/train2017/000000125703.jpg,,,,
61,The train is perpendicular to the bench.,perpendicular to,True,train,bench,http://images.cocodataset.org/train2017/000000570588.jpg,ambiguous_noun:bench,,,
74,The motorcycle is facing the truck.,facing,False,motorcycle,truck,http://images.cocodataset.org/train2017/000000032284.jpg,,,,
81,The person is facing away from the horse.,facing away from,False,person,horse,http://images.cocodataset.org/train2017/000000355156.jpg,,,,
83,The train is parallel to the person.,parallel to,True,train,person,http://images.cocodataset.org/train2017/000000532998.jpg,,,,
91,The motorcycle is parallel to the bus.,parallel to,True,motorcycle,bus,http://images.cocodataset.org/train2017/000000319655.jpg,,,,
105,The boat is parallel to the dining table.,parallel to,False,boat,dining table,http://images.cocodataset.org/train2017/000000284873.jpg,ambiguous_noun:table,,,
113,The person is facing the banana.,facing,False,person,banana,http://images.cocodataset.org/train2017/000000138315.jpg,ambiguous_noun:banana,,,
141,The wine glass is facing the dog.,facing,True,wine glass,dog,http://images.cocodataset.org/train2017/000000522288.jpg,ambiguous_noun:glass,,,
155,The cat is facing away from the person.,facing away from,True,cat,person,http://images.cocodataset.org/train2017/000000250543.jpg,,,,
160,The hot dog is perpendicular to the couch.,perpendicular to,False,hot dog,couch,http://images.cocodataset.org/train2017/000000294698.jpg,ambiguous_noun:couch,,,
171,The teddy bear is facing the bear.,facing,False,teddy bear,bear,http://images.cocodataset.org/train2017/000000073197.jpg,ambiguous_noun:teddy bear,,,
178,The cat is facing away from the tv.,facing away from,True,cat,tv,http://images.cocodataset.org/train2017/000000479528.jpg,ambiguous_noun:tv,,,
183,The scissors is facing away from the person.,facing away from,False,scissors,person,http://images.cocodataset.org/train2017/000000224632.jpg,,,,
191,The person is facing away from the oven.,facing away from,False,person,oven,http://images.cocodataset.org/train2017/000000396725.jpg,,,,
235,The person is parallel to the snowboard.,parallel to,True,person,snowboard,http://images.cocodataset.org/train2017/000000189280.jpg,ambiguous_noun:snowboard,,,
249,The teddy bear is facing the couch.,facing,True,teddy bear,couch,http://images.cocodataset.org/train2017/000000515755.jpg,ambiguous_noun:couch;ambiguous_noun:teddy bear,,,
282,The bear is facing the person.,facing,True,bear,person,http://images.cocodataset.org/train2017/000000318721.jpg,,,,
284,The laptop is facing the chair.,facing,False,laptop,chair,http://images.cocodataset.org/train2017/000000020481.jpg,ambiguous_noun:laptop;ambiguous_noun:chair,,,
326,The person is facing the refrigerator.,facing,False,person,refrigerator,http://images.cocodataset.org/train2017/000000518321.jpg,,,,
362,The bed is perpendicular to the cat.,perpendicular to,False,bed,cat,http://images.cocodataset.org/train2017/000000522441.jpg,ambiguous_noun:bed,,,
364,The cat is facing away from the dog.,facing away from,True,cat,dog,http://images.cocodataset.org/train2017/000000394976.jpg,,,,
395,The cat is facing the person.,facing,False,cat,person,http://images.cocodataset.org/train2017/000000078026.jpg,,,,
400,The cat is facing the sandwich.,facing,True,cat,sandwich,http://images.cocodataset.org/train2017/000000003067.jpg,,,,
443,The cat is perpendicular to the dining table.,perpendicular to,False,cat,dining table,http://images.cocodataset.org/train2017/000000011398.jpg,ambiguous_noun:table,,,
469,The teddy bear is facing away from the dog.,facing away from,True,teddy bear,dog,http://images.cocodataset.org/train2017/000000054643.jpg,ambiguous_noun:teddy bear,,,
526,The person is facing the hot dog.,facing,True,person,hot dog,http://images.cocodataset.org/train2017/000000009024.jpg,,,,
536,The bus is perpendicular to the train.,perpendicular to,True,bus,train,http://images.cocodataset.org/train2017/000000438102.jpg,,,,
542,The car is facing away from the parking meter.,facing away from,True,car,parking meter,http://images.cocodataset.org/train2017/000000169200.jpg,,,,
544,The teddy bear is facing the dining table.,facing,True,teddy bear,dining table,http://images.cocodataset.org/train2017/000000010714.jpg,ambiguous_noun:teddy bear;ambiguous_noun:table,,,
566,The dog is facing the oven.,facing,False,dog,oven,http://images.cocodataset.org/train2017/000000401045.jpg,,,,
578,The truck is perpendicular to the horse.,perpendicular to,False,truck,horse,http://images.cocodataset.org/train2017/000000295329.jpg,,,,
