id,statement,relation,ground_truth,prediction,raw_output
10,The motorcycle is in front of the truck.,in front of,False,True, True.
39,The oven is in front of the cake.,in front of,True,False, False.
30,The pizza is touching the person.,touching,True,False, False.
167,The person is touching the suitcase.,touching,False,True, True.
69,The book is behind the cat.,behind,False,True, True.
298,The book is behind the teddy bear.,behind,True,False, False.
25,The laptop is at the left side of the cake.,at the left side of,False,True, True.
85,The pizza is at the left side of the dog.,at the left side of,True,False, False.
36,The truck is under the couch.,under,True,False, False.
148,The handbag is under the cat.,under,False,True, True.
138,The book is on the teddy bear.,on,False,True, True.
140,The bench is on the boat.,on,True,False, False.
207,The cat is at the right side of the bed.,at the right side of,True,False, False.
244,The cake is at the right side of the laptop.,at the right side of,True,False, False.
576,The train is below the clock.,below,True,False, False.
602,The cat is below the bottle.,below,False,True, True.
73,The suitcase is on top of the person.,on top of,False,True, True.
131,The cat is on top of the suitcase.,on top of,False,True, True.
94,The laptop is above the cat.,above,False,True, True.
200,The car is above the cat.,above,True,False, False.
114,The person is facing the book.,facing,False,True, True.
213,The laptop is facing the sandwich.,facing,True,False, False.
33,The cat is facing away from the sink.,facing away from,True,False, False.
34,The cat is facing away from the toilet.,facing away from,True,False, False.
193,The dog is next to the book.,next to,True,False, False.
294,The book is next to the bed.,next to,True,False, False.
145,The bench is over the cat.,over,False,True, True.
196,The banana is over the person.,over,False,True, True.
240,The oven is beneath the sandwich.,beneath,True,False, False.
436,The truck is beneath the surfboard.,beneath,True,False, False.
16,The cat is at the edge of the sink.,at the edge of,False,True, True.
31,The sheep is at the edge of the cake.,at the edge of,True,False, False.
102,The refrigerator contains the dog.,contains,True,False, False.
272,The suitcase contains the cat.,contains,False,True, True.
125,The horse is right of the person.,right of,False,True, True.
210,The pizza is right of the bottle.,right of,True,False, False.
53,The zebra is at the back of the truck.,at the back of,True,False, False.
406,The parking meter is at the back of the truck.,at the back of,True,False, False.
87,The bus is far away from the train.,far away from,False,True, True.
580,The bench is far away from the hot dog.,far away from,True,False, False.
157,The chair is left of the teddy bear.,left of,True,False, False.
612,The banana is left of the sandwich.,left of,False,True, True.
19,The truck is parallel to the motorcycle.,parallel to,False,True, True.
508,The suitcase is parallel to the couch.,parallel to,True,False, False.
175,The person is away from the cake.,away from,True,False, False.
1095,The bench is away from the umbrella.,away from,False,True, True.
52,The cat is in the toilet.,in,False,True, True.
687,The hot dog is in the person.,in,False,True, True.
78,The bench is far from the teddy bear.,far from,True,False, False.
636,The person is far from the boat.,far from,True,False, False.
