item_id,relation,raw_response
0,inside,False
1,consists of,False
2,above,False
3,facing,False
4,inside,False
5,at the edge of,True
6,touching,False
7,in front of,True
8,beside,True
9,behind,True
10,in front of,True
11,at the left side of,True
12,behind,True
13,inside,False
14,perpendicular to,False
15,contains,False
16,at the edge of,True
17,touching,True
18,contains,False
19,parallel to,False
20,away from,True
21,in,False
22,perpendicular to,False
23,on top of,True
24,beside,True
25,at the left side of,False
26,attached to,False
27,above,True
28,below,True
29,in front of,True
30,touching,False
31,at the edge of,True
32,at the side of,False
33,facing away from,False
34,facing away from,False
35,on top of,False
36,under,True
37,at the right side of,True
38,contains,True
39,in front of,False
40,in,False
41,beneath,True
42,part of,True
43,below,True
44,touching,True
45,alongside,True
46,near,False
47,has as a part,True
48,on,False
49,behind,True
50,contains,True
51,beneath,True
52,in,False
53,at the back of,True
54,beside,True
55,far away from,True
56,at the left side of,True
57,contains,False
58,at the back of,True
59,at the left side of,True
60,far from,False
61,in front of,True
62,in,True
63,touching,False
64,at the left side of,True
65,contains,False
66,touching,False
67,below,True
68,beneath,True
69,behind,False
70,touching,True
71,beside,False
72,touching,True
73,on top of,False
74,attached to,False
75,at the left side of,True
76,under,False
77,beside,True
78,far from,True
79,in,False
80,in front of,True
81,facing away from,False
82,beneath,True
83,inside,True
84,at the left side of,False
85,at the left side of,True
86,above,False
87,far away from,False
88,inside,True
89,at the edge of,False
90,touching,False
91,below,True
92,in,True
93,under,True
94,above,False
95,at the right side of,False
96,away from,False
97,on,True
98,at the edge of,False
99,beside,True
100,beside,True
101,in,False
102,contains,False
103,near,True
104,below,True
105,above,True
106,facing away from,False
107,at the right side of,True
108,ahead of,True
109,in front of,True
110,at the right side of,True
111,surrounding,False
112,in the middle of,True
113,touching,True
114,facing,False
115,on,False
116,touching,True
117,beneath,False
118,at the right side of,False
119,on,True
120,alongside,True
121,touching,True
122,across from,False
123,inside,True
124,in front of,False
125,right of,False
126,in front of,False
127,close to,False
128,off,True
129,beneath,False
130,in,True
131,on top of,True
132,against,True
133,touching,False
134,under,False
135,on top of,True
136,far away from,False
137,touching,False
138,on,False
139,behind,False
140,on,False
141,into,True
142,behind,False
143,below,True
144,below,True
145,over,False
146,under,False
147,touching,False
148,under,False
149,touching,True
150,under,True
151,off,False
152,on,False
153,in front of,True
154,behind,True
155,on,True
156,facing away from,True
157,left of,True
158,far away from,True
159,next to,False
160,behind,False
161,at the edge of,True
162,at the edge of,True
163,far away from,False
164,under,False
165,in front of,True
166,beside,True
167,touching,False
168,connected to,False
169,at the side of,True
170,facing away from,False
171,facing,True
172,away from,True
173,touching,False
174,on top of,False
175,away from,False
176,touching,True
177,in front of,True
178,in front of,True
179,touching,True
180,beneath,True
181,at the right side of,True
182,within,False
183,at,True
184,in,True
185,beneath,True
186,on top of,True
187,in front of,True
188,touching,True
189,parallel to,True
190,at the left side of,True
191,inside,True
192,adjacent to,False
193,next to,True
194,at the right side of,True
195,left of,True
196,over,False
197,touching,False
198,at the right side of,True
199,below,True
200,above,True
201,above,False
202,touching,False
203,through,False
204,on top of,False
205,on top of,True
206,in front of,True
207,at the right side of,True
208,touching,False
209,far away from,True
210,right of,True
211,facing away from,True
212,below,True
213,facing,True
214,in,True
215,at the right side of,False
216,on top of,True
217,inside,False
218,far from,True
219,on top of,False
220,alongside,True
221,on top of,True
222,above,True
223,on,True
224,touching,True
225,away from,False
226,with,True
227,in,False
228,touching,True
229,under,True
230,facing away from,False
231,above,True
232,behind,True
233,on,False
234,on top of,False
235,on top of,True
236,under,True
237,in,False
238,in the middle of,False
239,facing away from,False
240,beneath,False
241,beside,True
242,away from,False
243,touching,False
244,at the right side of,True
245,next to,True
246,touching,True
247,at the left side of,False
248,in front of,False
249,against,True
250,facing,True
251,right of,False
252,on,True
253,at the edge of,True
254,on top of,True
255,surrounding,True
256,in front of,True
257,on top of,False
258,touching,True
259,at the left side of,True
260,in front of,True
261,under,True
262,beneath,False
263,below,True
264,in front of,True
265,off,True
266,close to,True
267,in front of,True
268,on top of,False
269,into,True
270,enclosed by,True
271,behind,False
272,contains,True
273,at the right side of,False
274,under,False
275,under,True
276,has as a part,False
277,touching,True
278,behind,True
279,in front of,False
280,facing,True
281,enclosed by,False
282,behind,True
283,far away from,True
284,at the right side of,False
285,touching,True
286,touching,True
287,touching,True
288,right of,True
289,on top of,False
290,close to,True
291,behind,False
292,on,False
293,contains,False
294,next to,True
295,over,False
296,inside,False
297,behind,True
298,behind,False
299,under,True
300,contains,True
301,in front of,False
302,at the right side of,False
303,down from,False
304,surrounding,False
305,on,False
306,next to,False
307,on,True
308,above,False
309,behind,True
310,under,True
311,touching,False
312,behind,True
313,in the middle of,False
314,opposite to,True
315,behind,True
316,detached from,True
317,under,True
318,on top of,False
319,with,True
320,over,False
321,on top of,True
322,off,True
323,in front of,True
324,near,False
325,touching,False
326,at the edge of,True
327,ahead of,True
328,touching,True
329,under,True
330,under,False
331,across from,True
332,away from,False
333,behind,False
334,touching,True
335,above,True
336,near,False
337,away from,True
338,contains,True
339,in front of,False
340,at the edge of,False
341,under,False
342,at the right side of,False
343,beside,True
344,next to,True
345,under,True
346,touching,True
347,touching,True
348,behind,True
349,on,True
350,behind,False
351,far away from,False
352,ahead of,True
353,next to,True
354,touching,True
355,below,True
356,facing,False
357,facing,True
358,far away from,False
359,facing,True
360,over,True
361,behind,True
362,facing,False
363,at the right side of,False
364,facing,False
365,touching,True
366,away from,True
367,under,True
368,across from,False
369,at the left side of,True
370,on,False
371,opposite to,False
372,by,True
373,far away from,False
374,over,True
375,facing,True
376,at the edge of,False
377,surrounding,True
378,beside,False
379,touching,True
380,at the left side of,True
381,behind,False
382,facing away from,True
383,touching,False
384,touching,False
385,facing,False
386,on,True
387,on top of,True
388,far from,False
389,left of,True
390,at the right side of,False
391,under,True
392,away from,False
393,above,True
394,parallel to,False
395,under,False
396,under,True
397,in front of,True
398,in the middle of,True
399,in front of,False
400,above,True
401,behind,True
402,on,False
403,in front of,True
404,at the right side of,False
405,part of,False
406,at the back of,False
407,part of,False
408,in front of,True
409,touching,True
410,facing,False
411,touching,True
412,above,False
413,under,True
414,in,True
415,beside,False
416,touching,True
417,on top of,True
418,over,True
419,over,False
420,in front of,False
421,in front of,True
422,touching,True
423,near,False
424,facing,True
425,alongside,True
426,perpendicular to,False
427,in,True
428,far away from,True
429,opposite to,False
430,touching,True
431,beneath,True
432,touching,False
433,touching,False
434,behind,True
435,touching,False
436,beneath,True
437,inside,True
438,opposite to,True
439,facing away from,False
440,above,False
441,attached to,True
442,on top of,True
443,on,False
444,on,True
445,contains,True
446,behind,True
447,under,False
448,touching,True
449,on top of,False
450,alongside,False
451,touching,False
452,on top of,True
453,touching,True
454,far away from,True
455,touching,False
456,opposite to,False
457,under,False
458,touching,True
459,on,False
460,next to,False
461,touching,True
462,touching,False
463,on top of,True
464,behind,True
465,touching,False
466,beneath,False
467,behind,True
468,in front of,True
469,in front of,False
470,at the right side of,False
471,in front of,True
472,in front of,True
473,next to,True
474,at the left side of,False
475,touching,True
476,in front of,True
477,touching,True
478,touching,False
479,touching,True
480,at the back of,False
481,on top of,True
482,behind,True
483,right of,False
484,toward,False
485,at the right side of,True
486,on,True
487,behind,True
488,touching,False
489,near,True
490,consists of,False
491,at the left side of,True
492,beneath,True
493,on top of,True
494,at the left side of,True
495,in front of,True
496,touching,True
497,touching,True
498,in,True
499,beneath,False
500,consists of,False
501,down from,True
502,on top of,True
503,in the middle of,True
504,behind,True
505,close to,False
506,touching,False
507,on top of,True
508,parallel to,False
509,touching,True
510,in front of,False
511,on,False
512,in,False
513,facing,True
514,contains,False
515,touching,True
516,above,False
517,contains,False
518,in front of,True
519,on top of,True
520,at the right side of,False
521,beneath,False
522,under,False
523,facing,False
524,in front of,False
525,over,False
526,on top of,True
527,in,True
528,touching,True
529,outside,True
530,behind,True
531,on top of,False
532,touching,False
533,touching,True
534,on,True
535,touching,False
536,part of,True
537,touching,True
538,left of,True
539,adjacent to,True
540,in the middle of,False
541,on top of,False
542,inside,False
543,along,True
544,parallel to,False
545,right of,True
546,inside,False
547,inside,False
548,left of,True
549,far away from,False
550,next to,False
551,touching,True
552,behind,True
553,right of,True
554,at the back of,True
555,over,True
556,at the back of,True
557,behind,True
558,facing away from,True
559,under,True
560,far away from,False
561,surrounding,False
562,on top of,True
563,beneath,False
564,facing away from,True
565,perpendicular to,False
566,far away from,True
567,adjacent to,True
568,touching,True
569,on,False
570,at the right side of,False
571,toward,False
572,touching,False
573,outside,False
574,at the left side of,True
575,beneath,False
576,below,True
577,at the side of,True
578,touching,True
579,on,True
580,far away from,False
581,under,True
582,facing,False
583,in front of,True
584,contains,False
585,left of,False
586,detached from,False
587,contains,True
588,touching,True
589,across from,True
590,near,True
591,touching,False
592,touching,True
593,under,True
594,facing,False
595,in front of,True
596,under,False
597,contains,False
598,next to,False
599,beneath,True
600,in front of,True
601,on,False
602,below,True
603,touching,True
604,by,True
605,by,True
606,above,True
607,attached to,True
608,behind,True
609,alongside,True
610,touching,True
611,touching,False
612,left of,False
613,above,True
614,opposite to,False
615,on,False
616,at the left side of,False
617,parallel to,False
618,at the left side of,True
619,inside,True
620,away from,False
621,at the left side of,False
622,touching,True
623,into,True
624,under,True
625,touching,True
626,touching,False
627,next to,True
628,beneath,False
629,under,False
630,at the left side of,False
631,across from,False
632,above,True
633,adjacent to,True
634,into,True
635,beyond,True
636,far from,True
637,on,True
638,behind,False
639,over,True
640,outside,True
641,touching,True
642,left of,False
643,has as a part,False
644,on,False
645,at the right side of,True
646,near,True
647,by,True
648,beneath,True
649,on,True
650,in the middle of,False
651,behind,False
652,part of,False
653,in front of,True
654,touching,False
655,at the edge of,True
656,behind,True
657,facing,True
658,on top of,True
659,in front of,True
660,on top of,False
661,contains,False
662,touching,True
663,next to,True
664,touching,True
665,on,False
666,in front of,False
667,touching,False
668,close to,True
669,contains,True
670,far away from,False
671,behind,True
672,at the left side of,True
673,next to,True
674,under,True
675,on,True
676,parallel to,True
677,touching,True
678,in front of,True
679,at the right side of,False
680,touching,True
681,behind,True
682,at the left side of,False
683,beside,True
684,next to,True
685,far away from,True
686,on top of,True
687,in,False
688,far away from,False
689,at the right side of,False
690,in front of,False
691,away from,True
692,in,True
693,above,True
694,touching,True
695,at the back of,True
696,close to,True
697,left of,True
698,at the left side of,True
699,under,False
700,behind,True
701,above,False
702,in front of,True
703,on,False
704,at the left side of,False
705,at the left side of,True
706,contains,False
707,next to,True
708,touching,True
709,connected to,True
710,touching,True
711,at the left side of,True
712,at the left side of,True
713,beneath,False
714,right of,False
715,touching,False
716,on,True
717,left of,False
718,on,True
719,far from,True
720,in front of,True
721,at the left side of,False
722,contains,False
723,behind,True
724,on,True
725,toward,True
726,right of,False
727,under,False
728,perpendicular to,False
729,surrounding,True
730,next to,False
731,toward,False
732,right of,True
733,behind,True
734,inside,True
735,in front of,False
736,away from,False
737,left of,False
738,facing,True
739,facing,True
740,contains,True
741,at the left side of,False
742,across,False
743,part of,False
744,touching,False
745,touching,True
746,below,False
747,on top of,True
748,next to,True
749,below,True
750,on top of,False
751,in front of,True
752,under,False
753,in,False
754,in front of,True
755,on,True
756,facing,True
757,facing away from,False
758,near,True
759,behind,True
760,touching,True
761,under,False
762,at the right side of,True
763,at the edge of,True
764,touching,True
765,next to,False
766,far away from,False
767,contains,True
768,touching,False
769,on top of,False
770,beneath,False
771,beside,True
772,in front of,True
773,down from,True
774,surrounding,True
775,against,True
776,in,False
777,part of,False
778,touching,True
779,has as a part,False
780,parallel to,True
781,beside,False
782,into,True
783,touching,False
784,under,False
785,touching,False
786,next to,True
787,on top of,True
788,into,False
789,on,False
790,far away from,True
791,inside,False
792,inside,False
793,in,True
794,adjacent to,False
795,below,True
796,in front of,True
797,below,True
798,at the left side of,False
799,by,True
800,touching,False
801,has as a part,False
802,at the left side of,False
803,above,False
804,in front of,True
805,facing,False
806,inside,True
807,touching,False
808,touching,True
809,next to,False
810,surrounding,True
811,consists of,False
812,touching,True
813,below,False
814,left of,False
815,at the back of,False
816,left of,False
817,behind,False
818,at the back of,False
819,left of,True
820,off,True
821,left of,True
822,far away from,False
823,on,False
824,next to,False
825,in,False
826,on top of,False
827,far from,False
828,on,False
829,in,False
830,contains,False
831,above,False
832,in front of,False
833,at the left side of,True
834,perpendicular to,False
835,at the edge of,True
836,at the right side of,False
837,under,True
838,touching,False
839,above,False
840,under,False
841,on,False
842,behind,False
843,in front of,False
844,in front of,True
845,part of,False
846,behind,True
847,close to,True
848,adjacent to,True
849,near,True
850,on,False
